FLD|STATION_NAME|STATION_ID|START_DATE|END_DATE|MILES_FROM_LOC|QUERY_NAME
DEWP|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
SLP|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
TEMP|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
MIN|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
H|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
PCP24|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
CLG|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
M|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
L|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
SPD|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
GUS|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
VSB|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
STP|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
PCP01|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
SKC|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
PCP06|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
PCPXX|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
ALT|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
MAX|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
DIR|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819
SD|CHICAGO/MIDWAY|725340-14819|20130523|20130523|0.0|14819

